Kingdom,Species,Number,Method,Type,Host,Lamp,Wavelength,Log,Fluence,Protocol,Tailing,Antibiotic_Resistant,Reference,Action_Spectrum
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,UV-LED,269,2,10,Y,N,,Würtele et al. 2010,N
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,UV-LED,269,3,17,Y,N,,Würtele et al. 2010,N
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,UV-LED,269,4,25,Y,N,,Würtele et al. 2010,N
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,UV-LED,282,1,3,Y,N,,Würtele et al. 2010,N
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,UV-LED,282,2,11,Y,N,,Würtele et al. 2010,N
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,UV-LED,282,3,18,Y,N,,Würtele et al. 2010,N
Bacteria,Bacillus subtilis,ATCC 6633,,Spore,,UV-LED,282,4,26,Y,N,,Würtele et al. 2010,N
Bacteria,Bacillus subtilis,ATCC 6051,,Spore,,LP,,1,8,Y,N,,Jin et al. 2006,N
Bacteria,Bacillus subtilis,ATCC 6051,,Spore,,LP,,2,13,Y,N,,Jin et al. 2006,N
Bacteria,Bacillus subtilis,ATCC 6051,,Spore,,LP,,3,17,Y,N,,Jin et al. 2006,N
Bacteria,Bacillus subtilis,ATCC 6051,,Spore,,LP,,4,20,Y,N,,Jin et al. 2006,N
Bacteria,Bacillus subtilis,TKJ 6312,,Spore,,LP,,1,0.7,Y,N,,Sommer et al. 1999,N
Bacteria,Bacillus subtilis,TKJ 6312,,Spore,,LP,,2,1.5,Y,N,,Sommer et al. 1999,N
Bacteria,Bacillus subtilis,TKJ 6312,,Spore,,LP,,3,2.3,Y,N,,Sommer et al. 1999,N
Bacteria,Bacillus subtilis,TKJ 6312,,Spore,,LP,,4,3.7,Y,N,,Sommer et al. 1999,N
Bacteria,Bacillus subtilis,WN624,,Spore,,LP,,1,25,Y,N,,Nicholson & Galeano 2003,N
Bacteria,Bacillus subtilis,WN624,,Spore,,LP,,2,36,Y,N,,Nicholson & Galeano 2003,N
Bacteria,Bacillus subtilis,WN624,,Spore,,LP,,3,49,Y,N,,Nicholson & Galeano 2003,N
Bacteria,Bacillus subtilis,WN624,,Spore,,LP,,4,60,Y,N,,Nicholson & Galeano 2003,N
Bacteria,Cylindrospermum,,,Spore,,LP,,1,14,N,N,,Singh 1975,N
Bacteria,Cylindrospermum,,,Spore,,LP,,2,26,N,N,,Singh 1975,N
Bacteria,Cylindrospermum,,,Spore,,LP,,3,43,N,N,,Singh 1975,N
Bacteria,Clostridium pasteurianum,ATCC 6013,,Spore,,LP,,1,3.4,Y,N,,Clauß 2006,N
Bacteria,Clostridium pasteurianum,ATCC 6013,,Spore,,LP,,2,5.3,Y,N,,Clauß 2006,N
Bacteria,Clostridium pasteurianum,ATCC 6013,,Spore,,LP,,3,6.7,Y,N,,Clauß 2006,N
Bacteria,Clostridium pasteurianum,ATCC 6013,,Spore,,LP,,4,8.4,Y,N,,Clauß 2006,N
Bacteria,Clostridium pasteurianum,ATCC 6013,,Spore,,Excimer,222,1,4.3,Y,N,,Clauß 2006,N
Bacteria,Clostridium pasteurianum,ATCC 6013,,Spore,,Excimer,222,2,6.1,Y,N,,Clauß 2006,N
Bacteria,Clostridium pasteurianum,ATCC 6013,,Spore,,Excimer,222,3,7.9,Y,N,,Clauß 2006,N
Bacteria,Clostridium pasteurianum,ATCC 6013,,Spore,,Excimer,222,4,9.6,Y,N,,Clauß 2006,N
Protozoa,Encephalitozoon intestinalis ,,,Spore,,LP,,1,2.8,Y,N,,John et al. 2003,N
Protozoa,Encephalitozoon intestinalis ,,,Spore,,LP,,2,5.6,Y,N,,John et al. 2003,N
Protozoa,Encephalitozoon intestinalis ,,,Spore,,LP,,3,8.4,Y,N,,John et al. 2003,N
Protozoa,Encephalitozoon intestinalis,,,Microsporidia,,LP & MP,,1,3,Y,N,,Huffman et al. 2002,N
Protozoa,Encephalitozoon intestinalis,,,Microsporidia,,LP & MP,,2,3,Y,N,,Huffman et al. 2002,N
Protozoa,Encephalitozoon intestinalis,,,Microsporidia,,LP & MP,,3,6,Y,N,,Huffman et al. 2002,N
Bacteria,Fischeralla muscicola,,,Spore,,LP,,1,189,N,N,,Singh 1975,N
Bacteria,Penicillium expansum,ATCC 36200,,Spore,,LP,,1,11,Y,N,,Clauß 2006,N
Bacteria,Penicillium expansum,ATCC 36200,,Spore,,LP,,2,38,Y,N,,Clauß 2006,N
Bacteria,Penicillium expansum,ATCC 36200,,Spore,,LP,,3,49,Y,N,,Clauß 2006,N
Bacteria,Penicillium expansum,ATCC 36200,,Spore,,LP,,4,65,Y,N,,Clauß 2006,N
Bacteria,Penicillium expansum,ATCC 36200,,Spore,,Excimer,222,1,22,Y,N,,Clauß 2006,N
Bacteria,Penicillium expansum,ATCC 36200,,Spore,,Excimer,222,2,33,Y,N,,Clauß 2006,N
Bacteria,Penicillium expansum,ATCC 36200,,Spore,,Excimer,222,3,42,Y,N,,Clauß 2006,N
Bacteria,Streptomyces griseus,ATCC 10137,,Spore,,LP,,1,8.5,Y,N,,Clauß 2006,N
Bacteria,Streptomyces griseus,ATCC 10137,,Spore,,LP,,2,13,Y,N,,Clauß 2006,N
Bacteria,Streptomyces griseus,ATCC 10137,,Spore,,LP,,3,15,Y,N,,Clauß 2006,N
Bacteria,Streptomyces griseus,ATCC 10137,,Spore,,LP,,4,18,Y,N,,Clauß 2006,N
Bacteria,Streptomyces griseus,ATCC 10137,,Spore,,Excimer,222,1,13,Y,N,,Clauß 2006,N
Bacteria,Streptomyces griseus,ATCC 10137,,Spore,,Excimer,222,2,17,Y,N,,Clauß 2006,N
Bacteria,Streptomyces griseus,ATCC 10137,,Spore,,Excimer,222,3,20,Y,N,,Clauß 2006,N
Bacteria,Streptomyces griseus,ATCC 10137,,Spore,,Excimer,222,4,26,Y,N,,Clauß 2006,N
Bacteria,Thermoactinomyces vulgaris,ATCC 43649,,Spore,,LP,,1,55,Y,N,,Clauß 2006,N
Bacteria,Thermoactinomyces vulgaris,ATCC 43649,,Spore,,LP,,2,90,Y,N,,Clauß 2006,N
Bacteria,Thermoactinomyces vulgaris,ATCC 43649,,Spore,,LP,,3,115,Y,N,,Clauß 2006,N
Bacteria,Thermoactinomyces vulgaris,ATCC 43649,,Spore,,LP,,4,140,Y,N,,Clauß 2006,N
Bacteria,Thermoactinomyces vulgaris,ATCC 43649,,Spore,,Excimer,222,1,25,Y,N,,Clauß 2006,N
Bacteria,Thermoactinomyces vulgaris,ATCC 43649,,Spore,,Excimer,222,2,38,Y,N,,Clauß 2006,N
Bacteria,Thermoactinomyces vulgaris,ATCC 43649,,Spore,,Excimer,222,3,46,Y,N,,Clauß 2006,N
Bacteria,Thermoactinomyces vulgaris,ATCC 43649,,Spore,,Excimer,222,4,55,Y,N,,Clauß 2006,N
Bacteria,Aeromonas hydrophila,ATCC 7966,,Veg,,LP,,1,1.1,Y,N,,Wilson et al. 1992,N
Bacteria,Aeromonas hydrophila,ATCC 7966,,Veg,,LP,,2,2.5,Y,N,,Wilson et al. 1992,N
Bacteria,Aeromonas hydrophila,ATCC 7966,,Veg,,LP,,3,4,Y,N,,Wilson et al. 1992,N
Bacteria,Aeromonas hydrophila,ATCC 7966,,Veg,,LP,,4,5.5,Y,N,,Wilson et al. 1992,N
Bacteria,Aeromonas hydrophila,ATCC 7966,,Veg,,LP,,5,6.9,Y,N,,Wilson et al. 1992,N
Bacteria,Aeromonas hydrophila,ATCC 7966,,Veg,,LP,,6,8.4,Y,N,,Wilson et al. 1992,N
Bacteria,Aeromonas salmonicida,AL 2017,,Veg,,LP,,1,1.5,Y,N,,Liltved & Landfald 1996,N
Bacteria,Aeromonas salmonicida,AL 2017,,Veg,,LP,,2,2.7,Y,N,,Liltved & Landfald 1996,N
